epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.506,0.13716,2.1238,0.94303,0.36963,0.54278,0.39491,0.39165,0.19729,1.36433,0.36862,0.000277407,0.000277407,0.000277407
2,706.758,0.09389,1.49776,0.90202,0.25626,0.56524,0.29544,0.26389,0.34548,1.77281,0.47043,0.000536756,0.000536756,0.000536756
3,1039.16,0.08815,1.40346,0.89843,0.4051,0.65893,0.48083,0.42627,0.30319,1.33005,0.37261,0.000777779,0.000777779,0.000777779
4,1372.85,0.08019,1.35623,0.89761,0.40134,0.70904,0.5421,0.53902,0.24084,1.09875,0.40445,0.000750533,0.000750533,0.000750533
5,1703.08,0.07119,1.31713,0.89397,0.50275,0.64933,0.5695,0.56923,0.21504,1.05964,0.36673,0.000723044,0.000723044,0.000723044
6,2035.53,0.0675,1.29405,0.89353,0.5322,0.63672,0.59867,0.59486,0.25253,1.06814,0.42806,0.000695555,0.000695555,0.000695555
7,2365.36,0.06341,1.27025,0.89201,0.50955,0.65583,0.60462,0.58559,0.25244,1.13043,0.36492,0.000668066,0.000668066,0.000668066
8,2690.19,0.05865,1.25145,0.89143,0.55838,0.64778,0.63064,0.62916,0.25094,1.03399,0.43137,0.000640577,0.000640577,0.000640577
9,3014,0.05669,1.23678,0.88847,0.54415,0.6922,0.66046,0.6598,0.18746,0.95466,0.3513,0.000613088,0.000613088,0.000613088
10,3337.63,0.05537,1.22027,0.88884,0.53025,0.68489,0.66178,0.65948,0.23007,1.01533,0.40968,0.000585599,0.000585599,0.000585599
11,3661.59,0.05256,1.20224,0.88952,0.6194,0.69596,0.71685,0.71658,0.17774,0.86247,0.33665,0.00055811,0.00055811,0.00055811
12,3984.14,inf,1.19019,0.88838,0.62216,0.70847,0.72206,0.72194,0.13524,0.83397,0.27981,0.000530621,0.000530621,0.000530621
13,4309.64,0.04903,1.17378,0.88791,0.63717,0.69783,0.72825,0.72774,0.17986,0.88365,0.32803,0.000503132,0.000503132,0.000503132
14,4633.95,0.04817,1.16307,0.88996,0.65922,0.71078,0.75174,0.75166,0.20359,0.83895,0.36806,0.000475643,0.000475643,0.000475643
15,4958.75,0.04613,1.14531,0.88804,0.66577,0.70926,0.75748,0.75694,0.21915,0.82617,0.39156,0.000448154,0.000448154,0.000448154
16,5281.84,0.04498,1.13929,0.88858,0.67416,0.72015,0.76443,0.76398,0.19334,0.80771,0.35545,0.000420665,0.000420665,0.000420665
17,5602.8,0.04347,1.12724,0.88805,0.67149,0.73698,0.78125,0.78012,0.20441,0.79569,0.36372,0.000393176,0.000393176,0.000393176
18,5925.41,0.04312,1.11701,0.88656,0.67,0.73404,0.77506,0.77255,0.21819,0.79738,0.38592,0.000365687,0.000365687,0.000365687
19,6245.22,0.04156,1.10637,0.88698,0.66128,0.74761,0.77747,0.77577,0.21944,0.80335,0.39297,0.000338198,0.000338198,0.000338198
20,6568.09,0.04076,1.10315,0.88608,0.70947,0.71508,0.78941,0.77838,0.32512,0.83253,0.4503,0.000310709,0.000310709,0.000310709
21,6878.3,0.03099,0.72144,0.89936,0.69396,0.74743,0.79728,0.78282,0.31055,0.81027,0.4326,0.00028322,0.00028322,0.00028322
22,7188.47,0.02878,0.68016,0.89815,0.70761,0.75197,0.80353,0.79476,0.27172,0.798,0.40671,0.000255731,0.000255731,0.000255731
23,7499.15,0.02515,0.65093,0.89854,0.71389,0.75902,0.81057,0.80859,0.1922,0.74095,0.36466,0.000228242,0.000228242,0.000228242
24,7808.46,0.02304,0.61986,0.89661,0.71412,0.75739,0.81199,0.80939,0.19522,0.74307,0.37169,0.000200753,0.000200753,0.000200753
25,8118.61,0.02251,0.59633,0.8993,0.72254,0.74605,0.81425,0.80708,0.27416,0.79035,0.4057,0.000173264,0.000173264,0.000173264
26,8429.76,0.02113,0.58068,0.89771,0.71473,0.76078,0.81251,0.81163,0.18468,0.75675,0.3596,0.000145775,0.000145775,0.000145775
27,8740.5,0.02064,0.55529,0.89736,0.71419,0.76404,0.81766,0.81626,0.19268,0.74562,0.37092,0.000118286,0.000118286,0.000118286
28,9055.13,0.01947,0.53739,0.89768,0.70094,0.77913,0.8189,0.81773,0.18303,0.74843,0.36066,9.0797e-05,9.0797e-05,9.0797e-05
29,9375.41,0.01835,0.50903,0.89756,0.73236,0.74834,0.8201,0.81888,0.18673,0.74798,0.36412,6.3308e-05,6.3308e-05,6.3308e-05
30,9690.28,0.01764,0.49122,0.89703,0.72514,0.75833,0.82083,0.81954,0.18178,0.75776,0.3597,3.5819e-05,3.5819e-05,3.5819e-05
